qid,bertscore_gold,bertscore_para,bertscore_dist,bertscore_para_dist,drop_bertscore_para_pp,drop_bertscore_dist_pp,drop_bertscore_para_dist_pp
GEO001,0.42247846722602844,0.999998927116394,0.9811422228813171,0.42247846722602844,57.75204598903656,55.86637556552887,0.0
GEO002,0.9833314418792725,0.9833314418792725,0.9833314418792725,0.9833314418792725,0.0,0.0,0.0
GEO003,0.9999950528144836,0.9999950528144836,0.7266042828559875,0.7266042828559875,0.0,-27.33907699584961,-27.33907699584961
GEO004,0.9999992847442627,0.9999992847442627,0.9999992847442627,0.9999992847442627,0.0,0.0,0.0
GEO005,0.9999978542327881,0.9999978542327881,0.9999978542327881,0.9999978542327881,0.0,0.0,0.0
GEO006,0.999998927116394,0.999998927116394,0.999998927116394,0.999998927116394,0.0,0.0,0.0
GEO007,0.9999982118606567,0.9060084223747253,0.9999982118606567,0.9060084223747253,-9.39897894859314,0.0,-9.39897894859314
GEO008,0.999998927116394,0.999998927116394,0.999998927116394,0.999998927116394,0.0,0.0,0.0
GEO009,0.8829271793365479,0.8829271793365479,0.4673890173435211,0.4673890173435211,0.0,-41.55381619930267,-41.55381619930267
GEO010,0.9999985694885254,0.7140871286392212,0.7140871286392212,0.9999985694885254,-28.59114408493042,-28.59114408493042,0.0
HIST001,1.0000007152557373,1.0000007152557373,1.0000007152557373,1.0000007152557373,0.0,0.0,0.0
HIST002,1.000002145767212,0.18381620943546295,1.000002145767212,0.20514507591724396,-81.6185936331749,0.0,-79.4857069849968
HIST003,1.0000014305114746,1.0000014305114746,1.0000014305114746,1.0000014305114746,0.0,0.0,0.0
HIST004,0.9999992847442627,0.9999992847442627,0.9999992847442627,0.9999992847442627,0.0,0.0,0.0
HIST005,0.9999996423721313,0.9999996423721313,0.9999996423721313,0.9999996423721313,0.0,0.0,0.0
HIST006,0.9999996423721313,0.01705489680171013,0.9999996423721313,0.01705489680171013,-98.29447455704212,0.0,-98.29447455704212
HIST007,0.8210062384605408,0.8210062384605408,0.999995768070221,0.999995768070221,0.0,17.898952960968018,17.898952960968018
HIST008,0.9999978542327881,0.9999978542327881,0.9999978542327881,0.9999978542327881,0.0,0.0,0.0
HIST009,1.0000007152557373,1.0000007152557373,1.0000007152557373,1.0000007152557373,0.0,0.0,0.0
HIST010,0.26290789246559143,0.26290789246559143,0.26290789246559143,0.26290789246559143,0.0,0.0,0.0
LIT001,1.0000014305114746,1.0000014305114746,0.9065621495246887,0.9065621495246887,0.0,-9.343928098678589,-9.343928098678589
LIT002,0.8399360775947571,0.8399360775947571,0.8399360775947571,1.0000014305114746,0.0,0.0,16.006535291671753
LIT003,1.0000007152557373,1.0000007152557373,1.0000007152557373,0.9324436187744141,0.0,0.0,-6.755709648132324
LIT004,0.999994695186615,0.999994695186615,0.999994695186615,0.999994695186615,0.0,0.0,0.0
LIT005,0.9999996423721313,0.9999996423721313,0.9999996423721313,0.9999996423721313,0.0,0.0,0.0
LIT006,0.9999982118606567,0.9999982118606567,0.9999982118606567,0.9506152272224426,0.0,0.0,-4.938298463821411
LIT007,0.9999968409538269,0.9999968409538269,0.9999968409538269,0.9999968409538269,0.0,0.0,0.0
LIT008,0.8740158081054688,0.9999978542327881,0.8740158081054688,0.9999978542327881,12.598204612731934,0.0,12.598204612731934
LIT009,1.0000014305114746,1.0000014305114746,1.0000014305114746,1.0000014305114746,0.0,0.0,0.0
LIT010,1.0000014305114746,1.0000014305114746,1.0000014305114746,1.0000014305114746,0.0,0.0,0.0
POL001,0.9759807586669922,0.9759807586669922,0.9759807586669922,0.9759807586669922,0.0,0.0,0.0
POL002,1.0000007152557373,1.0000007152557373,1.0000007152557373,1.0000007152557373,0.0,0.0,0.0
POL003,0.41093572974205017,0.41093572974205017,0.6080389618873596,0.6080389618873596,0.0,19.710323214530945,19.710323214530945
POL004,0.4571423828601837,0.6558341383934021,0.4571423828601837,0.6558341383934021,19.86917555332184,0.0,19.86917555332184
POL005,0.840953528881073,1.0,0.840953528881073,0.840953528881073,15.9046471118927,0.0,0.0
POL006,1.0000014305114746,1.0000014305114746,1.0000014305114746,1.0000014305114746,0.0,0.0,0.0
POL007,0.9999978542327881,0.636042594909668,0.636042594909668,0.9999978542327881,-36.39552593231201,-36.39552593231201,0.0
POL008,0.9999996423721313,0.9999996423721313,0.9999996423721313,0.9999996423721313,0.0,0.0,0.0
POL009,0.2882479727268219,0.2882479727268219,0.2882479727268219,0.2882479727268219,0.0,0.0,0.0
POL010,0.999998927116394,0.999998927116394,0.999998927116394,0.999998927116394,0.0,0.0,0.0
SCI001,1.0000007152557373,1.0000007152557373,1.0000007152557373,1.0000007152557373,0.0,0.0,0.0
SCI002,0.9999982118606567,0.9999982118606567,0.9999982118606567,0.9971746802330017,0.0,0.0,-0.28235316276550293
SCI003,0.50578373670578,0.52241450548172,0.50578373670578,0.52241450548172,1.6630768775939941,0.0,1.6630768775939941
SCI004,0.9209330677986145,0.9209330677986145,0.9209330677986145,0.9209330677986145,0.0,0.0,0.0
SCI005,0.2329654097557068,0.2329654097557068,0.2329654097557068,0.2329654097557068,0.0,0.0,0.0
SCI006,1.0000007152557373,1.0000007152557373,1.0000007152557373,1.0000007152557373,0.0,0.0,0.0
SCI007,0.018962325528264046,0.018962325528264046,0.018962325528264046,0.018962325528264046,0.0,0.0,0.0
SCI008,1.0000014305114746,1.0000014305114746,1.0000014305114746,1.0000014305114746,0.0,0.0,0.0
SCI009,0.8365901708602905,0.8365901708602905,0.8365901708602905,0.8365901708602905,0.0,0.0,0.0
SCI010,0.3009798228740692,0.3009798228740692,0.32635554671287537,0.3009798228740692,0.0,2.5375723838806152,0.0
